ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source
Bororo,Bororo,boro1282,Bororo,bor,South America,-16.6,-55.2,Bororoan,
BororoWesternCastelnau,BororoWestern(Castelnau),,,,,-16.6,-55.2,,
BororoSaoLourenco,BororoSãoLourenço,,,,,-17.5,-56.5,,
BororoCabacal,BororoCabaçal,,,,,-16.5,-58.0,,
BororoCampanha,BororoCampanha,,,,,-16.0,-57.8,,
BororoSteinen,BororoSteinen,,,,,-16.6,-55.2,,
Otuke,Otuke,otuk1240,Otuke,otu,South America,-15.27,-59.7,Bororoan,
Umutina,Umutina,umot1240,Umotína,umo,South America,-15.59,-57.42,Bororoan,
Kuruminaka,Kuruminaka,,,,,-16.0,-60.0,,
Kovareka,Kovareka,,,,,-17.0,-60.0,,
