NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	ACHIOTE	AGRICULTURE_AND_VEGETATION	349	ACHIOTE
2	AGOUTI	ANIMALS	313	AGOUTI
3	ANACONDA (WATER BOA)	ANIMALS	896	ANACONDA (WATER BOA)
4	ANTEATER	ANIMALS	181	ANTEATER
5	ANUS	THE_BODY	1935	ANUS
6	ARM	THE_BODY	1673	ARM
7	ARMADILLO	ANIMALS	1885	ARMADILLO
8	ARMADILLO SP.			
9	ARROW	WARFARE_AND_HUNTING	977	ARROW
10	ASH	THE_PHYSICAL_WORLD	646	ASH
11	ASTYANAX FISH			
12	AXE	BASIC_ACTIONS_AND_TECHNOLOGY	677	AXE
13	BABAÇU (Attalea speciosa)			
14	BACK	THE_BODY	1291	BACK
15	BAD OR EVIL	EMOTIONS_AND_VALUES	3764	BAD OR EVIL
16	BAMBOO	AGRICULTURE_AND_VEGETATION	1927	BAMBOO
17	BAMBOO	AGRICULTURE_AND_VEGETATION	1927	BAMBOO
18	BANANA	AGRICULTURE_AND_VEGETATION	868	BANANA
19	BARK OR SHELL	ANIMALS	3865	BARK OR SHELL
20	BAT	ANIMALS	1793	BAT
21	BEAK	THE_BODY	73	BEAK
22	BEAN		832	BEAN
23	BEARD		678	BEARD
24	BEAUTIFUL		1427	BEAUTIFUL
25	BEE	ANIMALS	665	BEE
26	BEETLE		2242	BEETLE
27	BELLYBUTTON	THE_BODY	3715	BELLYBUTTON
28	BEVERAGE	FOOD_AND_DRINK	731	BEVERAGE
29	BIRD	ANIMALS	937	BIRD
30	BLOOD	THE_BODY	946	BLOOD
31	BLUE-AND-YELLOW MACAW	ANIMALS	3927	BLUE-AND-YELLOW MACAW
32	BOIL	FOOD_AND_DRINK	2493	BOIL
33	BONE	THE_BODY	1394	BONE
34	BOW	WARFARE_AND_HUNTING	994	BOW
35	BOY		1366	BOY
36	BREAK (BREAKING)	BASIC_ACTIONS_AND_TECHNOLOGY	3020	BREAK (BREAKING)
37	BREAST	THE_BODY	1402	BREAST
38	BREU (PROTIUM HEPTAPHYLLUM)			
39	BROTHER	KINSHIP	1262	BROTHER
40	BROTHER-IN-LAW	KINSHIP	2314	BROTHER-IN-LAW
41	BURITI			BURITI
42	BUTTERFLY	ANIMALS	1791	BUTTERFLY
43	BUTTOCKS		834	BUTTOCKS
44	CAIMAN	ANIMALS	2438	CAIMAN
45	CAJÁ			
46	CAPYBARA	ANIMALS	314	CAPYBARA
47	CAT		1208	CAT
48	CATERPILLAR		2247	CATERPILLAR
49	CENTIPEDE		1974	CENTIPEDE
50	CHEEK		1730	CHEEK
51	CHICHA	FOOD_AND_DRINK	441	CHICHA
52	CHICKEN	ANIMALS	1318	CHICKEN
53	CHIN	THE_BODY	1510	CHIN
54	CICADA		2353	CICADA
55	COATI (COATIMUNDI)	ANIMALS	2389	COATI (COATIMUNDI)
56	COATI (COATIMUNDI)	ANIMALS	2389	COATI (COATIMUNDI)
57	COB			
58	COCKROACH		1575	COCKROACH
59	COLD	SENSE_PERCEPTION	1287	COLD
60	COLLARED PECCARY	ANIMALS	435	COLLARED PECCARY
61	COTTON	CLOTHING_AND_GROOMING	1850	COTTON
62	COUGH	THE_BODY	879	COUGH
63	CRAB	ANIMALS	2348	CRAB
64	CRICKET		2354	CRICKET
65	CRY			
66	CURASSOW	ANIMALS	315	CURASSOW
67	CURIMBATÁ (Prochilodus lineatus)			
68	CUT	BASIC_ACTIONS_AND_TECHNOLOGY	1432	CUT
69	DANCE	MOTION	1879	DANCE
70	DAUGHTER		1357	DAUGHTER
71	DAY (NOT NIGHT)		1225	DAY (NOT NIGHT)
72	DEER	ANIMALS	1936	DEER
73	DIE	THE_BODY	1494	DIE
7733	DO OR MAKE	BASIC_ACTIONS_AND_TECHNOLOGY	2575	DO OR MAKE
74	DOG	ANIMALS	2009	DOG
75	DOVE	ANIMALS	1853	DOVE
76	DRAGONFLY	ANIMALS	2352	DRAGONFLY
77	DRINK	FOOD_AND_DRINK	1401	DRINK
78	DRY	SENSE_PERCEPTION	1398	DRY
79	DUCK	ANIMALS	1360	DUCK
80	EAR	THE_BODY	1247	EAR
81	EARTH OR LAND	THE_PHYSICAL_WORLD	3603	EARTH OR LAND
82	EAT	FOOD_AND_DRINK	1336	EAT
83	EEL			
84	EGG	FOOD_AND_DRINK	744	EGG
85	ELBOW	THE_BODY	981	ELBOW
863	EMU	ANIMALS	2817	EMU
86	EYE	THE_BODY	1248	EYE
87	EYEBROW		1173	EYEBROW
88	FACE	THE_BODY	1560	FACE
89	FAECES (EXCREMENT)	THE_BODY	675	FAECES (EXCREMENT)
90	FATHER			FATHER
91	FEAR (FRIGHT)	EMOTIONS_AND_VALUES	781	FEAR (FRIGHT)
92	FEATHER			FEATHER
93	FIELD	AGRICULTURE_AND_VEGETATION	212	FIELD
94	FINGER		1303	FINGER
95	FINGERNAIL	THE_BODY	1258	FINGERNAIL
96	FIRE	THE_PHYSICAL_WORLD	221	FIRE
97	FIREFLY		206	FIREFLY
98	FIREWOOD		10	FIREWOOD
99	FISH	ANIMALS	227	FISH
100	FLESH OR MEAT	THE_BODY	2615	FLESH OR MEAT
101	FLOWER	AGRICULTURE_AND_VEGETATION	239	FLOWER
102	FLY (INSECT)	ANIMALS	1504	FLY (INSECT)
103	FLY SP.			
104	FOOT	THE_BODY	1301	FOOT
105	FOREHEAD	THE_BODY	123	FOREHEAD
106	FOREST	THE_PHYSICAL_WORLD	420	FOREST
107	FOX	ANIMALS	1312	FOX
108	FROG	ANIMALS	503	FROG
109	FRUIT		1507	FRUIT
110	FUR			
111	GENIPA	AGRICULTURE_AND_VEGETATION	3920	GENIPA
112	GILDED CATFISH			
113	GIVE			GIVE
114	GOOD	EMOTIONS_AND_VALUES	1035	GOOD
115	GOURD	AGRICULTURE_AND_VEGETATION	411	GOURD
116	GRASS		606	GRASS
117	GRASSHOPPER		607	GRASSHOPPER
118	HAIR	THE_BODY	1040	HAIR
119	HAMMOCK	THE_HOUSE	2019	HAMMOCK
120	HAND	THE_BODY	1277	HAND
121	HAWK	ANIMALS	307	HAWK
122	HE		1211	HE
123	HEART	THE_BODY	1223	HEART
124	HEDGEHOG	ANIMALS	1797	HEDGEHOG
125	HEEL	THE_BODY	980	HEEL
126	HOLE	SPATIAL_RELATIONS	1667	HOLE
127	HONEY	FOOD_AND_DRINK	942	HONEY
128	HOPLIAS (GENUS)	ANIMALS	3933	HOPLIAS (GENUS)
129	HORN (ANATOMY)	THE_BODY	1393	HORN (ANATOMY)
130	HORNED SCREAMER SP.			
131	HOUSE	THE_HOUSE	1252	HOUSE
132	HOWLER MONKEY	ANIMALS	433	HOWLER MONKEY
994	HYACINTH MACAW	ANIMALS		
133	I	KINSHIP	1209	I
134	IGUANA	ANIMALS	1578	IGUANA
135	INTESTINES		1991	INTESTINES
136	IRON	BASIC_ACTIONS_AND_TECHNOLOGY	621	IRON
137	JABIRU (Jabiru mycteria)	ANIMALS		
138	JAGUAR		1250	JAGUAR
139	JARARACUSSU			
140	KILL	THE_BODY	1417	KILL
141	KINGFISHER	ANIMALS	2444	KINGFISHER
142	KNEE		1371	KNEE
143	LAKE	THE_PHYSICAL_WORLD	624	LAKE
144	LAUGH		1355	LAUGH
145	LEAF	AGRICULTURE_AND_VEGETATION	628	LEAF
146	LEG		1297	LEG
147	LIANA	AGRICULTURE_AND_VEGETATION	2388	LIANA
148	LIE DOWN	SPATIAL_RELATIONS	215	LIE DOWN
149	LIGHT (IGNITE)	THE_PHYSICAL_WORLD	737	LIGHT (IGNITE)
1448	LIP	THE_BODY	478	LIP
1449	LIP HOLE			
150	LIVER	THE_BODY	1224	LIVER
151	LIZARD	ANIMALS	632	LIZARD
152	LOOK		1819	LOOK
153	MAIZE		506	MAIZE
154	MAN		1554	MAN
155	MANED WOLF			
156	MANGABA			
157	MANIOC	AGRICULTURE_AND_VEGETATION	927	MANIOC
158	MONKEY	ANIMALS	1350	MONKEY
159	MOON	THE_PHYSICAL_WORLD	1313	MOON
160	MOSQUITO	ANIMALS	1509	MOSQUITO
161	MOTHER	KINSHIP	1216	MOTHER
162	MOUNTAIN	THE_PHYSICAL_WORLD	639	MOUNTAIN
163	MOUTH	THE_BODY	674	MOUTH
164	MUD	THE_PHYSICAL_WORLD	640	MUD
165	NECK	THE_BODY	1333	NECK
166	NIGHT	TIME	1233	NIGHT
167	NOSE	THE_BODY	1221	NOSE
168	OLDER BROTHER	KINSHIP	1759	OLDER BROTHER
